clean_text,sentimen
nyore enak parkir luas model parkir otomatis bayar coffeshop buka jam malam tidak salah harga kopi moderat aman kantong,positif
enak nongkrong olahraga pagi bayar parkir,positif
tempat bagus bersih parkir murah kamar mandi bersih,positif
acara pakai petas berisik,negatif
cocok jogging jalan sehat view adem fresh,positif
olahraga terokee sejogja parkir gampang rapi tata embung bersih tenang segar putar wiken banyakk jajan senam,positif
libur padat lari ganggu jalan moga rute lari jalan parkir panas luas sih,positif
jogging pagi gratis,positif
airy super clean cocok jdi spot jogging bengong bengong sore,positif
estetik siang panas ngopi enak,positif
good,positif
acara ust salim fillah bagus pada,positif
bagus indah,positif
tempat bagus,positif
adequate place to jog,positif
bantu rantau yogyakarta minimal lari pagi joging sore yagesyaa,positif
has such scenic sunset view,positif
happy banget nemu jalan doggy satpam tukang parkir ramah takut tidak pet friendly boleh pake harnes tali pampers tempat bersih nyaman luas,positif
luas bersih suasana sore syahdumau jogging cocok space event moga variasi spacenya yasupaya ruang publik hidup,positif
megah bersih,positif
joging,positif
masuk kesini gratis tiket parkir otomatis kesini ken jogging refreshing suka jalanjalan jemur terik matahari pagi embung tidak luas coffeshop pinggir ngopi ngopi liat pandang banged kemarin ketemu anak anak foto kenangkenangan kelas tidak sengaja sapa temen sd udah puluh tidak ketemu perhati orang ketemu sahabat tidak ketemu sukses reuni dada orang,positif
suka lihat sepuh jogging jalan tidak arah shg takut nyenggol lari,positif
sayang kompetisi langen crito penting publik toilet air mati tidak air loket parkir ilah uang kembali sih customer kasih kembali uang jelek isolasi pegang uang bagus,negatif
coba joging minggu pagi jalur lumayan km enak joggingwalking tidak tiket masuk parkir kendara,positif
bagus bengong hehehe angin adem nyaman santa olahraga tukang parkir peka unjung susah keluar motor menyebrang,positif
main libur lebaran tempat luas adem fasilitas oke parkir luas cocok banget jogging giat seni ngobrol bengong fotofoto oke loh langit sore cakep moga fasilitas publik urus tarik,positif
nya kotor nya tugas siah sampah plastik nya,negatif
lokasi seyogyanya akses parkir area,positif
solusi acara piknik estetik murah riah,positif
jos,positif
alhamdulillah hadir dsini aula representatif giat moga menbawa baik negara warga,positif
moga awat even nasjonal,positif
banget dar santai,positif
cozy place to hangout with others,positif
bagus nyaman,positif
nyaman jogging jalan santai tempat bersih estetik free tiket masuk bayar parkir kendara,positif
cakep tempat,positif
luas nyaman parkir mobil motor luas,positif
bagus enak jogging,positif
na baguscocok joging parkir luaspetugas parkirna ramahcuma sayang na satpamna kurang baikbintang satpamna,negatif
luas bagusskalau sore ramai olah ragayang gedung tanah hujan becek lumpur panas debu belum selesai okee sore bagus,positif
bagus rapi bersihmantap dah,positif
tempat nyaman olah raga pagi sore sy tkp tempat bersih air embung kayak kotorkehijauan alir hilir tidak lancar tempat bersih toilet bersih pintu toilet rusak,positif
bener bener penuh suasana klasik sejarah,positif
obyek wisata wilayah yogyakarta selatan liburweekend ramai kunjung gratis masuk parkir luas,positif
nongkrong oke,positif
bagus bersih,positif
bagus bgtz bangun,positif
estetik,positif
yogyakarta bersih rapi cocok jogging track olahraga,positif
tempat bersih nyaman,positif
mampir karna penasaran track trekkingjogging keliling kesini klompok main angklung orang jogging jalan bagus bersih bayar parkir,positif
warm place,positif
tempat cantik tarik sudut estetik nuansa klasik coba deh kesini tempat oke mantap,positif
cocok event,positif
giat seni bagus olahraga dar cari udara segar nikmat sunset sore cerah tahan bersih,positif
tmpt luas cocok bwt joging,positif
fasilitas tingkat suasana outdoor oke tambah pohon nya graha nya baik lampu toilet tunjuk arah,negatif
trans yogyakarta persis halte cocok jogging jalan langit cerah spot nyore jajan kantin tunjuk seni info jadwal cek ig cocok event area sewa sesuai butuh selasar meeting room amphitheater grha isi selasar indoor concert hall lapang luas manfaat area tata kayak jalan samping grha area barat rumput liar bagus banget mushola toilet parkir luas tugas pintu parkir,positif
nice building for art show,positif
nya bersih rapih guna butuh acara,positif
kompetisi international choral festival yicf tempat luas sayang parkir mobil becek tanah,positif
tempat baguss enak jogging kadang tidak gitu rame sore ngak gitu luas banget,positif
alam tidak enak event event bayar mahal parkir bayar alas bom koordinasi kang parkir cuk main tukang parkir uang masuk mana,negatif
parkir mahal fasilitas zonk air tidak,negatif
enak banget event olahraga tau resto konsep kolam nya,positif
excellent,positif
musholanya bagus bersih nyaman,positif
sejuk nyaman jogging,positif
olahraga fasilitas dukung kamar mandi tidak awat kamar mandi perempuan kunci bilik bilik sedia kamar mandi disabilitas kunci mohon perhati baik,negatif
kunjung tepat acara festival area luas jenis gedung jenis giat ruang teater tunjuk area parkir seberang jalan,positif
asoy tempat syahdu deket venue el metronom kemarin enak nongkrong btw kolam mancing kah hahaha,positif
best view,positif
enak joging jalan keliling kolam byr parkir,positif
joging sabtu sore tempat nyaman,positif
cek ombak tunjuk,positif
parkir ribu jogging lumayan rame sih suka sepi kurang cocok serame tempat bersih tidak sampah,positif
lari sore kesini nyaman area bersih bagus parkir luas ok,positif
jalan pagi enak nyaman hati pinggir kadang licin takut kepleset pekan jualanjgn lupa dilarisin parkir ribu putar kurang km menit jalan cepat kmjam,positif
mantep sih lari muter badan ngos ngosan minggu pagi pasar jajan temen lari hehe parkir motor arah kadang bantu ngeluarin bapak jaga moga rindang mantap,positif
bagus giat pamer grha joging pagi,positif
pintar letak selatan kelola pintar lahan kebun bibit milik dinas tani pesat bangun sebab susut lahan resap air hujan salah upaya kelola air hujan kendali fasilitas sarana prasarana bina olah raga keliling track jogging meter gedung grha gedung pamer lantai panggung buka penting unjung sedia toilet musholla bersih nyaman komunitas beraktifitas giat olah raga pamer seminar dll sewa fasilitas jangkau jogging gratis parkir sepeda motor mobil tempat luas denga biya jangkau ahad pagi pasar minggu umkm saji kuliner murah riah rajin senam dll pokok top deh rutin jogging,positif
malem mancing situ mancing tidak bolehpadahal nggak tebar benih ikan liar pancing bijak rugi wees angel angel,negatif
cocok olahraga ringan jalan kaki,positif
olah raga ringan minggu pagi suasana nyaman sejuk,positif
bersih fasilitas lengkap layan parkir mobil motor ruwet,positif
olah raga pagi momong anak guys,positif
bersih nyaman jogingkrna aktifitas joging dsinipagi sore,positif
tempat luas pol tidak expect lumayan bersihh musholanya nyaman indoor outdoornya recomended banget acara tempat strategis parkir luas tpi sayang tukang parkir kurang ramah oiya deket situ warung makan,positif
cocok joging relax keluarga,positif
bagus tata bangunanya rapi,positif
